Variable,YEAR,SEMESTRE,Clase,Total
SEDE_NOMBRE_ADM,2014,1,Bogotá,2622
SEDE_NOMBRE_ADM,2014,1,Caribe,0
SEDE_NOMBRE_ADM,2014,1,La Paz,0
SEDE_NOMBRE_ADM,2014,1,Manizales,407
SEDE_NOMBRE_ADM,2014,1,Medellín,990
SEDE_NOMBRE_ADM,2014,1,Orinoquía,4
SEDE_NOMBRE_ADM,2014,1,Palmira,157
SEDE_NOMBRE_ADM,2014,1,Tumaco,0
SEDE_NOMBRE_ADM,2014,2,Amazonía,4
SEDE_NOMBRE_ADM,2014,2,Bogotá,2716
SEDE_NOMBRE_ADM,2014,2,Caribe,4
SEDE_NOMBRE_ADM,2014,2,La Paz,0
SEDE_NOMBRE_ADM,2014,2,Manizales,495
SEDE_NOMBRE_ADM,2014,2,Medellín,931
SEDE_NOMBRE_ADM,2014,2,Orinoquía,6
SEDE_NOMBRE_ADM,2014,2,Palmira,196
SEDE_NOMBRE_ADM,2014,2,Tumaco,0
SEDE_NOMBRE_ADM,2015,1,Amazonía,2
SEDE_NOMBRE_ADM,2015,1,Bogotá,2544
SEDE_NOMBRE_ADM,2015,1,Caribe,5
SEDE_NOMBRE_ADM,2015,1,La Paz,0
SEDE_NOMBRE_ADM,2015,1,Manizales,484
SEDE_NOMBRE_ADM,2015,1,Medellín,982
SEDE_NOMBRE_ADM,2015,1,Orinoquía,15
SEDE_NOMBRE_ADM,2015,1,Palmira,236
SEDE_NOMBRE_ADM,2015,1,Tumaco,0
SEDE_NOMBRE_ADM,2015,2,Amazonía,13
SEDE_NOMBRE_ADM,2015,2,Bogotá,2824
SEDE_NOMBRE_ADM,2015,2,Caribe,6
SEDE_NOMBRE_ADM,2015,2,La Paz,0
SEDE_NOMBRE_ADM,2015,2,Manizales,544
SEDE_NOMBRE_ADM,2015,2,Medellín,1022
SEDE_NOMBRE_ADM,2015,2,Orinoquía,14
SEDE_NOMBRE_ADM,2015,2,Palmira,208
SEDE_NOMBRE_ADM,2015,2,Tumaco,0
SEDE_NOMBRE_ADM,2016,1,Amazonía,2
SEDE_NOMBRE_ADM,2016,1,Bogotá,2769
SEDE_NOMBRE_ADM,2016,1,Caribe,5
SEDE_NOMBRE_ADM,2016,1,La Paz,0
SEDE_NOMBRE_ADM,2016,1,Manizales,582
SEDE_NOMBRE_ADM,2016,1,Medellín,1107
SEDE_NOMBRE_ADM,2016,1,Orinoquía,15
SEDE_NOMBRE_ADM,2016,1,Palmira,226
SEDE_NOMBRE_ADM,2016,1,Tumaco,0
SEDE_NOMBRE_ADM,2016,2,Amazonía,15
SEDE_NOMBRE_ADM,2016,2,Bogotá,2822
SEDE_NOMBRE_ADM,2016,2,Caribe,12
SEDE_NOMBRE_ADM,2016,2,La Paz,0
SEDE_NOMBRE_ADM,2016,2,Manizales,572
SEDE_NOMBRE_ADM,2016,2,Medellín,1026
SEDE_NOMBRE_ADM,2016,2,Orinoquía,20
SEDE_NOMBRE_ADM,2016,2,Palmira,235
SEDE_NOMBRE_ADM,2016,2,Tumaco,0
SEDE_NOMBRE_ADM,2017,1,Amazonía,16
SEDE_NOMBRE_ADM,2017,1,Bogotá,3264
SEDE_NOMBRE_ADM,2017,1,Caribe,11
SEDE_NOMBRE_ADM,2017,1,La Paz,0
SEDE_NOMBRE_ADM,2017,1,Manizales,641
SEDE_NOMBRE_ADM,2017,1,Medellín,1098
SEDE_NOMBRE_ADM,2017,1,Orinoquía,19
SEDE_NOMBRE_ADM,2017,1,Palmira,233
SEDE_NOMBRE_ADM,2017,1,Tumaco,0
SEDE_NOMBRE_ADM,2017,2,Amazonía,20
SEDE_NOMBRE_ADM,2017,2,Bogotá,2755
SEDE_NOMBRE_ADM,2017,2,Caribe,16
SEDE_NOMBRE_ADM,2017,2,La Paz,0
SEDE_NOMBRE_ADM,2017,2,Manizales,647
SEDE_NOMBRE_ADM,2017,2,Medellín,1068
SEDE_NOMBRE_ADM,2017,2,Orinoquía,22
SEDE_NOMBRE_ADM,2017,2,Palmira,271
SEDE_NOMBRE_ADM,2017,2,Tumaco,0
SEDE_NOMBRE_ADM,2018,1,Amazonía,21
SEDE_NOMBRE_ADM,2018,1,Bogotá,3153
SEDE_NOMBRE_ADM,2018,1,Caribe,4
SEDE_NOMBRE_ADM,2018,1,La Paz,0
SEDE_NOMBRE_ADM,2018,1,Manizales,613
SEDE_NOMBRE_ADM,2018,1,Medellín,1015
SEDE_NOMBRE_ADM,2018,1,Orinoquía,28
SEDE_NOMBRE_ADM,2018,1,Palmira,290
SEDE_NOMBRE_ADM,2018,1,Tumaco,0
SEDE_NOMBRE_ADM,2018,2,Amazonía,17
SEDE_NOMBRE_ADM,2018,2,Bogotá,2867
SEDE_NOMBRE_ADM,2018,2,Caribe,15
SEDE_NOMBRE_ADM,2018,2,La Paz,0
SEDE_NOMBRE_ADM,2018,2,Manizales,641
SEDE_NOMBRE_ADM,2018,2,Medellín,1092
SEDE_NOMBRE_ADM,2018,2,Orinoquía,29
SEDE_NOMBRE_ADM,2018,2,Palmira,441
SEDE_NOMBRE_ADM,2018,2,Tumaco,0
SEDE_NOMBRE_ADM,2019,1,Amazonía,9
SEDE_NOMBRE_ADM,2019,1,Bogotá,1749
SEDE_NOMBRE_ADM,2019,1,Caribe,5
SEDE_NOMBRE_ADM,2019,1,La Paz,0
SEDE_NOMBRE_ADM,2019,1,Manizales,269
SEDE_NOMBRE_ADM,2019,1,Medellín,486
SEDE_NOMBRE_ADM,2019,1,Orinoquía,8
SEDE_NOMBRE_ADM,2019,1,Palmira,164
SEDE_NOMBRE_ADM,2019,1,Tumaco,0
SEDE_NOMBRE_ADM,2019,2,Amazonía,42
SEDE_NOMBRE_ADM,2019,2,Bogotá,4200
SEDE_NOMBRE_ADM,2019,2,Caribe,24
SEDE_NOMBRE_ADM,2019,2,La Paz,0
SEDE_NOMBRE_ADM,2019,2,Manizales,816
SEDE_NOMBRE_ADM,2019,2,Medellín,1562
SEDE_NOMBRE_ADM,2019,2,Orinoquía,56
SEDE_NOMBRE_ADM,2019,2,Palmira,296
SEDE_NOMBRE_ADM,2019,2,Tumaco,0
SEDE_NOMBRE_ADM,2020,1,Amazonía,41
SEDE_NOMBRE_ADM,2020,1,Bogotá,3016
SEDE_NOMBRE_ADM,2020,1,Caribe,8
SEDE_NOMBRE_ADM,2020,1,La Paz,0
SEDE_NOMBRE_ADM,2020,1,Manizales,606
SEDE_NOMBRE_ADM,2020,1,Medellín,1053
SEDE_NOMBRE_ADM,2020,1,Orinoquía,29
SEDE_NOMBRE_ADM,2020,1,Palmira,173
SEDE_NOMBRE_ADM,2020,1,Tumaco,0
SEDE_NOMBRE_ADM,2020,2,Amazonía,18
SEDE_NOMBRE_ADM,2020,2,Bogotá,2449
SEDE_NOMBRE_ADM,2020,2,Caribe,7
SEDE_NOMBRE_ADM,2020,2,La Paz,0
SEDE_NOMBRE_ADM,2020,2,Manizales,611
SEDE_NOMBRE_ADM,2020,2,Medellín,506
SEDE_NOMBRE_ADM,2020,2,Orinoquía,25
SEDE_NOMBRE_ADM,2020,2,Palmira,197
SEDE_NOMBRE_ADM,2020,2,Tumaco,0
NACIONALIDAD,2010,1,Colombiana,5245
NACIONALIDAD,2010,1,Extranjero,11
NACIONALIDAD,2010,1,Sin información,17
NACIONALIDAD,2010,2,Colombiana,3337
NACIONALIDAD,2010,2,Extranjero,12
NACIONALIDAD,2010,2,Sin información,13
NACIONALIDAD,2011,1,Colombiana,4327
NACIONALIDAD,2011,1,Extranjero,20
NACIONALIDAD,2011,1,Sin información,2
NACIONALIDAD,2011,2,Colombiana,3273
NACIONALIDAD,2011,2,Extranjero,13
NACIONALIDAD,2011,2,Sin información,31
NACIONALIDAD,2012,1,Colombiana,3064
NACIONALIDAD,2012,1,Extranjero,8
NACIONALIDAD,2012,1,Sin información,201
NACIONALIDAD,2012,2,Colombiana,4848
NACIONALIDAD,2012,2,Extranjero,9
NACIONALIDAD,2012,2,Sin información,4
NACIONALIDAD,2013,1,Colombiana,3138
NACIONALIDAD,2013,1,Extranjero,9
NACIONALIDAD,2013,1,Sin información,32
NACIONALIDAD,2013,2,Colombiana,4370
NACIONALIDAD,2013,2,Extranjero,20
NACIONALIDAD,2013,2,Sin información,9
NACIONALIDAD,2014,1,Colombiana,4153
NACIONALIDAD,2014,1,Extranjero,9
NACIONALIDAD,2014,1,Sin información,23
NACIONALIDAD,2014,2,Colombiana,4314
NACIONALIDAD,2014,2,Extranjero,13
NACIONALIDAD,2014,2,Sin información,25
NACIONALIDAD,2015,1,Colombiana,4241
NACIONALIDAD,2015,1,Extranjero,27
NACIONALIDAD,2015,1,Sin información,0
NACIONALIDAD,2015,2,Colombiana,4615
NACIONALIDAD,2015,2,Extranjero,16
NACIONALIDAD,2015,2,Sin información,0
NACIONALIDAD,2016,1,Colombiana,4675
NACIONALIDAD,2016,1,Extranjero,31
NACIONALIDAD,2016,1,Sin información,0
NACIONALIDAD,2016,2,Colombiana,4674
NACIONALIDAD,2016,2,Extranjero,28
NACIONALIDAD,2016,2,Sin información,0
NACIONALIDAD,2017,1,Colombiana,5251
NACIONALIDAD,2017,1,Extranjero,25
NACIONALIDAD,2017,1,Sin información,6
NACIONALIDAD,2017,2,Colombiana,4763
NACIONALIDAD,2017,2,Extranjero,36
NACIONALIDAD,2017,2,Sin información,0
NACIONALIDAD,2018,1,Colombiana,5089
NACIONALIDAD,2018,1,Extranjero,24
NACIONALIDAD,2018,1,Sin información,11
NACIONALIDAD,2018,2,Colombiana,5074
NACIONALIDAD,2018,2,Extranjero,20
NACIONALIDAD,2018,2,Sin información,8
NACIONALIDAD,2019,1,Colombiana,2666
NACIONALIDAD,2019,1,Extranjero,19
NACIONALIDAD,2019,1,Sin información,5
NACIONALIDAD,2019,2,Colombiana,6935
NACIONALIDAD,2019,2,Extranjero,61
NACIONALIDAD,2019,2,Sin información,0
NACIONALIDAD,2020,1,Colombiana,4879
NACIONALIDAD,2020,1,Extranjero,47
NACIONALIDAD,2020,1,Sin información,0
NACIONALIDAD,2020,2,Colombiana,3779
NACIONALIDAD,2020,2,Extranjero,34
NACIONALIDAD,2020,2,Sin información,0
SEXO,2009,1,Hombres,2756
SEXO,2009,1,Mujeres,2200
SEXO,2009,2,Hombres,1622
SEXO,2009,2,Mujeres,1486
SEXO,2010,1,Hombres,2969
SEXO,2010,1,Mujeres,2304
SEXO,2010,2,Hombres,1877
SEXO,2010,2,Mujeres,1485
SEXO,2011,1,Hombres,2340
SEXO,2011,1,Mujeres,2009
SEXO,2011,2,Hombres,1972
SEXO,2011,2,Mujeres,1345
SEXO,2012,1,Hombres,1854
SEXO,2012,1,Mujeres,1419
SEXO,2012,2,Hombres,2715
SEXO,2012,2,Mujeres,2146
SEXO,2013,1,Hombres,1826
SEXO,2013,1,Mujeres,1353
SEXO,2013,2,Hombres,2476
SEXO,2013,2,Mujeres,1923
SEXO,2014,1,Hombres,2405
SEXO,2014,1,Mujeres,1780
SEXO,2014,2,Hombres,2440
SEXO,2014,2,Mujeres,1912
SEXO,2015,1,Hombres,2444
SEXO,2015,1,Mujeres,1824
SEXO,2015,2,Hombres,2662
SEXO,2015,2,Mujeres,1969
SEXO,2016,1,Hombres,2777
SEXO,2016,1,Mujeres,1929
SEXO,2016,2,Hombres,2705
SEXO,2016,2,Mujeres,1997
SEXO,2017,1,Hombres,3084
SEXO,2017,1,Mujeres,2198
SEXO,2017,2,Hombres,2863
SEXO,2017,2,Mujeres,1936
SEXO,2018,1,Hombres,2955
SEXO,2018,1,Mujeres,2169
SEXO,2018,2,Hombres,2902
SEXO,2018,2,Mujeres,2200
SEXO,2019,1,Hombres,1488
SEXO,2019,1,Mujeres,1202
SEXO,2019,2,Hombres,4190
SEXO,2019,2,Mujeres,2806
SEXO,2020,1,Hombres,2940
SEXO,2020,1,Mujeres,1986
SEXO,2020,2,Hombres,2307
SEXO,2020,2,Mujeres,1506
AREAC_SNIES,2009,1,"Agronomía, veterinaria y afines",193
AREAC_SNIES,2009,1,Bellas artes,224
AREAC_SNIES,2009,1,Ciencias de la educación,5
AREAC_SNIES,2009,1,Ciencias de la salud,491
AREAC_SNIES,2009,1,Ciencias sociales y humanas,1088
AREAC_SNIES,2009,1,"Economía, administración, contaduría y afines",445
AREAC_SNIES,2009,1,"Ingeniería, arquitectura, urbanismo y afines",2059
AREAC_SNIES,2009,1,Matemáticas y ciencias naturales,451
AREAC_SNIES,2009,2,"Agronomía, veterinaria y afines",141
AREAC_SNIES,2009,2,Bellas artes,201
AREAC_SNIES,2009,2,Ciencias de la educación,6
AREAC_SNIES,2009,2,Ciencias de la salud,432
AREAC_SNIES,2009,2,Ciencias sociales y humanas,667
AREAC_SNIES,2009,2,"Economía, administración, contaduría y afines",394
AREAC_SNIES,2009,2,"Ingeniería, arquitectura, urbanismo y afines",978
AREAC_SNIES,2009,2,Matemáticas y ciencias naturales,289
AREAC_SNIES,2010,1,"Agronomía, veterinaria y afines",189
AREAC_SNIES,2010,1,Bellas artes,295
AREAC_SNIES,2010,1,Ciencias de la educación,9
AREAC_SNIES,2010,1,Ciencias de la salud,574
AREAC_SNIES,2010,1,Ciencias sociales y humanas,1100
AREAC_SNIES,2010,1,"Economía, administración, contaduría y afines",536
AREAC_SNIES,2010,1,"Ingeniería, arquitectura, urbanismo y afines",2130
AREAC_SNIES,2010,1,Matemáticas y ciencias naturales,440
AREAC_SNIES,2010,2,"Agronomía, veterinaria y afines",111
AREAC_SNIES,2010,2,Bellas artes,182
AREAC_SNIES,2010,2,Ciencias de la educación,6
AREAC_SNIES,2010,2,Ciencias de la salud,265
AREAC_SNIES,2010,2,Ciencias sociales y humanas,734
AREAC_SNIES,2010,2,"Economía, administración, contaduría y afines",502
AREAC_SNIES,2010,2,"Ingeniería, arquitectura, urbanismo y afines",1223
AREAC_SNIES,2010,2,Matemáticas y ciencias naturales,339
AREAC_SNIES,2011,1,"Agronomía, veterinaria y afines",173
